date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:24	159/159	---MCZ	200	added ('OK')	text/plain	etag:W/%22633554b4-f6%22	https://colorlib.com/robots.txt		(from )
14:06:24	5158/5158	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202022%2018:06:57%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/index.html	(from )
14:06:24	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%2263373041-1d970%22	https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css	(from https://colorlib.com/etc/bforms/colorlib-booking-1/)
14:06:24	2100/2100	---MCZ	200	added ('OK')	text/css	etag:W/%2263373041-a3e%22	https://colorlib.com/etc/bforms/colorlib-booking-1/css/style.css	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/css/style.css	(from https://colorlib.com/etc/bforms/colorlib-booking-1/)
14:06:25	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Wed,%2018%20Jan%202023%2007:36:26%20GMT	https://colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/booking/colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://colorlib.com/etc/bforms/colorlib-booking-1/)
14:06:26	53896/53896	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2007:36:27%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.eot	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css)
14:06:27	53896/53896	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2007:36:28%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regulard41d.eot	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css)
14:06:28	53898/53898	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2007:36:28%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.woff2	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css)
14:06:28	53897/53897	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2007:36:29%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.woff	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css)
14:06:29	53896/53896	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2007:36:30%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.ttf	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css)
14:06:30	53896/53896	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2007:36:31%20GMT	https://colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/fonts/glyphicons-halflings-regular.svg	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/bootstrap.min.css)
14:06:31	611082/611082	---M--	200	added ('OK')	image/jpeg	etag:%2263373042-9a9ac%22	https://colorlib.com/etc/bforms/colorlib-booking-1/img/background.jpg	C:/My%20Web%20Sites/booking/colorlib.com/etc/bforms/colorlib-booking-1/img/background.jpg	(from https://colorlib.com/etc/bforms/colorlib-booking-1/css/style.css)
